일자,계(명),국내발생(명),해외유입(명),사망(명),,,,,,,
누적(명),26412901,26342261,70640,29862,,,,,,,
2020.1.20,1,-,1,-,,,,,,,
2020.1.21,0,-,-,-,,,,,,,
2020.1.22,0,-,-,-,,,,,,,
2020.1.23,0,-,-,-,,,,,,,
2020.1.24,1,-,1,-,,,,,,,
2020.1.25,0,-,-,-,,,,,,,
2020.1.26,1,-,1,-,,,,,,,
2020.1.27,1,-,1,-,,,,,,,
2020.1.28,0,-,-,-,,,,,,,
2020.1.29,0,-,-,-,,,,,,,
2020.1.30,3,1,2,-,,,,,,,
2020.1.31,4,3,1,-,,,,,,,
2020.2.1,1,-,1,-,,,,,,,
2020.2.2,3,1,2,-,,,,,,,
2020.2.3,0,-,-,-,,,,,,,
2020.2.4,1,-,1,-,,,,,,,
2020.2.5,5,3,2,-,,,,,,,
2020.2.6,3,1,2,-,,,,,,,
2020.2.7,0,-,-,-,,,,,,,
2020.2.8,0,-,-,-,,,,,,,
2020.2.9,3,1,2,-,,,,,,,
2020.2.10,1,1,-,-,,,,,,,
2020.2.11,0,-,-,-,,,,,,,
2020.2.12,0,-,-,-,,,,,,,
2020.2.13,0,-,-,-,,,,,,,
2020.2.14,0,-,-,-,,,,,,,
2020.2.15,0,-,-,-,,,,,,,
2020.2.16,2,2,-,-,,,,,,,
2020.2.17,0,-,-,-,,,,,,,
2020.2.18,2,2,-,-,,,,,,,
2020.2.19,34,34,-,-,,,,,,,
2020.2.20,16,16,-,1,,,,,,,
2020.2.21,74,74,-,-,,,,,,,
2020.2.22,190,190,-,2,,,,,,,
2020.2.23,210,209,1,-,,,,,,,
2020.2.24,207,206,1,4,,,,,,,
2020.2.25,130,129,1,1,,,,,,,
2020.2.26,253,252,1,3,,,,,,,
2020.2.27,449,447,2,1,,,,,,,
2020.2.28,427,427,-,1,,,,,,,
2020.2.29,909,909,-,3,,,,,,,
2020.3.1,595,593,2,1,,,,,,,
2020.3.2,686,684,2,6,,,,,,,
2020.3.3,600,599,1,5,,,,,,,
2020.3.4,516,516,-,4,,,,,,,
2020.3.5,438,437,1,3,,,,,,,
2020.3.6,518,518,-,7,,,,,,,
2020.3.7,483,483,-,2,,,,,,,
2020.3.8,367,366,1,6,,,,,,,
2020.3.9,248,247,1,1,,,,,,,
2020.3.10,131,131,-,3,,,,,,,
2020.3.11,242,239,3,6,,,,,,,
2020.3.12,114,112,2,6,,,,,,,
2020.3.13,110,107,3,1,,,,,,,
2020.3.14,107,102,5,5,,,,,,,
2020.3.15,76,72,4,3,,,,,,,
2020.3.16,74,70,4,-,,,,,,,
2020.3.17,84,79,5,6,,,,,,,
2020.3.18,93,80,13,3,,,,,,,
2020.3.19,152,135,17,7,,,,,,,
2020.3.20,87,73,14,3,,,,,,,
2020.3.21,147,126,21,8,,,,,,,
2020.3.22,98,77,21,2,,,,,,,
2020.3.23,64,46,18,7,,,,,,,
2020.3.24,76,46,30,9,,,,,,,
2020.3.25,100,42,58,6,,,,,,,
2020.3.26,104,56,48,5,,,,,,,
2020.3.27,91,57,34,8,,,,,,,
2020.3.28,146,90,56,5,,,,,,,
2020.3.29,105,38,67,8,,,,,,,
2020.3.30,78,35,43,6,,,,,,,
2020.3.31,125,88,37,4,,,,,,,
2020.4.1,101,56,45,3,,,,,,,
2020.4.2,89,43,46,4,,,,,,,
2020.4.3,86,37,49,5,,,,,,,
2020.4.4,94,53,41,3,,,,,,,
2020.4.5,81,31,50,6,,,,,,,
2020.4.6,47,25,22,3,,,,,,,
2020.4.7,47,23,24,6,,,,,,,
2020.4.8,53,23,30,8,,,,,,,
2020.4.9,39,13,26,4,,,,,,,
2020.4.10,27,17,10,4,,,,,,,
2020.4.11,30,16,14,3,,,,,,,
2020.4.12,32,9,23,3,,,,,,,
2020.4.13,25,10,15,3,,,,,,,
2020.4.14,27,11,16,5,,,,,,,
2020.4.15,27,13,14,3,,,,,,,
2020.4.16,22,11,11,4,,,,,,,
2020.4.17,22,7,15,1,,,,,,,
2020.4.18,18,9,9,2,,,,,,,
2020.4.19,8,2,6,2,,,,,,,
2020.4.20,13,6,7,2,,,,,,,
2020.4.21,9,4,5,1,,,,,,,
2020.4.22,11,5,6,1,,,,,,,
2020.4.23,8,4,4,2,,,,,,,
2020.4.24,6,4,2,-,,,,,,,
2020.4.25,10,5,5,-,,,,,,,
2020.4.26,10,1,9,2,,,,,,,
2020.4.27,10,3,7,1,,,,,,,
2020.4.28,14,2,12,1,,,,,,,
2020.4.29,9,4,5,2,,,,,,,
2020.4.30,4,-,4,1,,,,,,,
2020.5.1,9,1,8,1,,,,,,,
2020.5.2,6,-,6,2,,,,,,,
2020.5.3,13,3,10,-,,,,,,,
2020.5.4,8,-,8,2,,,,,,,
2020.5.5,3,-,3,2,,,,,,,
2020.5.6,2,-,2,1,,,,,,,
2020.5.7,4,1,3,1,,,,,,,
2020.5.8,12,1,11,-,,,,,,,
2020.5.9,18,17,1,-,,,,,,,
2020.5.10,34,26,8,-,,,,,,,
2020.5.11,35,29,6,-,,,,,,,
2020.5.12,27,22,5,2,,,,,,,
2020.5.13,26,22,4,1,,,,,,,
2020.5.14,29,26,3,1,,,,,,,
2020.5.15,27,22,5,-,,,,,,,
2020.5.16,19,9,10,2,,,,,,,
2020.5.17,13,6,7,-,,,,,,,
2020.5.18,15,5,10,1,,,,,,,
2020.5.19,13,9,4,-,,,,,,,
2020.5.20,32,24,8,-,,,,,,,
2020.5.21,12,10,2,1,,,,,,,
2020.5.22,20,11,9,-,,,,,,,
2020.5.23,23,19,4,2,,,,,,,
2020.5.24,25,17,8,-,,,,,,,
2020.5.25,16,13,3,1,,,,,,,
2020.5.26,19,16,3,2,,,,,,,
2020.5.27,40,37,3,-,,,,,,,
2020.5.28,79,68,11,-,,,,,,,
2020.5.29,58,55,3,-,,,,,,,
2020.5.30,39,27,12,-,,,,,,,
2020.5.31,27,15,12,1,,,,,,,
2020.6.1,35,30,5,1,,,,,,,
2020.6.2,38,36,2,1,,,,,,,
2020.6.3,49,46,3,1,,,,,,,
2020.6.4,39,33,6,-,,,,,,,
2020.6.5,39,34,5,-,,,,,,,
2020.6.6,51,43,8,-,,,,,,,
2020.6.7,57,53,4,-,,,,,,,
2020.6.8,37,32,5,-,,,,,,,
2020.6.9,38,35,3,1,,,,,,,
2020.6.10,50,43,7,2,,,,,,,
2020.6.11,45,40,5,-,,,,,,,
2020.6.12,56,43,13,1,,,,,,,
2020.6.13,48,43,5,-,,,,,,,
2020.6.14,34,31,3,-,,,,,,,
2020.6.15,37,24,13,-,,,,,,,
2020.6.16,34,21,13,1,,,,,,,
2020.6.17,43,31,12,1,,,,,,,
2020.6.18,59,51,8,1,,,,,,,
2020.6.19,49,32,17,-,,,,,,,
2020.6.20,67,36,31,-,,,,,,,
2020.6.21,48,40,8,-,,,,,,,
2020.6.22,17,11,6,-,,,,,,,
2020.6.23,46,16,30,1,,,,,,,
2020.6.24,51,30,21,-,,,,,,,
2020.6.25,28,23,5,1,,,,,,,
2020.6.26,39,26,13,-,,,,,,,
2020.6.27,51,31,20,-,,,,,,,
2020.6.28,62,40,22,-,,,,,,,
2020.6.29,42,30,12,-,,,,,,,
2020.6.30,42,22,20,-,,,,,,,
2020.7.1,51,36,15,-,,,,,,,
2020.7.2,54,44,10,-,,,,,,,
2020.7.3,61,49,12,-,,,,,,,
2020.7.4,63,36,27,1,,,,,,,
2020.7.5,61,43,18,-,,,,,,,
2020.7.6,48,24,24,1,,,,,,,
2020.7.7,44,20,24,1,,,,,,,
2020.7.8,62,30,32,-,,,,,,,
2020.7.9,50,28,22,2,,,,,,,
2020.7.10,45,23,22,1,,,,,,,
2020.7.11,35,20,15,-,,,,,,,
2020.7.12,44,21,23,1,,,,,,,
2020.7.13,62,19,43,-,,,,,,,
2020.7.14,33,14,19,-,,,,,,,
2020.7.15,39,11,28,-,,,,,,,
2020.7.16,61,14,47,2,,,,,,,
2020.7.17,60,21,39,2,,,,,,,
2020.7.18,39,11,28,1,,,,,,,
2020.7.19,34,21,13,1,,,,,,,
2020.7.20,26,4,22,1,,,,,,,
2020.7.21,45,20,25,-,,,,,,,
2020.7.22,63,29,34,1,,,,,,,
2020.7.23,59,39,20,-,,,,,,,
2020.7.24,41,28,13,1,,,,,,,
2020.7.25,113,27,86,-,,,,,,,
2020.7.26,58,12,46,-,,,,,,,
2020.7.27,25,9,16,1,,,,,,,
2020.7.28,28,5,23,1,,,,,,,
2020.7.29,48,14,34,-,,,,,,,
2020.7.30,18,7,11,-,,,,,,,
2020.7.31,36,14,22,1,,,,,,,
2020.8.1,31,8,23,-,,,,,,,
2020.8.2,30,8,22,-,,,,,,,
2020.8.3,23,3,20,-,,,,,,,
2020.8.4,34,13,21,-,,,,,,,
2020.8.5,33,13,20,1,,,,,,,
2020.8.6,43,23,20,-,,,,,,,
2020.8.7,20,9,11,1,,,,,,,
2020.8.8,43,30,13,1,,,,,,,
2020.8.9,36,30,6,1,,,,,,,
2020.8.10,28,17,11,-,,,,,,,
2020.8.11,34,23,11,-,,,,,,,
2020.8.12,54,35,19,-,,,,,,,
2020.8.13,56,47,9,-,,,,,,,
2020.8.14,103,85,18,-,,,,,,,
2020.8.15,166,154,12,-,,,,,,,
2020.8.16,279,267,12,-,,,,,,,
2020.8.17,197,188,9,-,,,,,,,
2020.8.18,246,235,11,1,,,,,,,
2020.8.19,297,283,14,-,,,,,,,
2020.8.20,288,276,12,1,,,,,,,
2020.8.21,324,315,9,2,,,,,,,
2020.8.22,332,315,17,-,,,,,,,
2020.8.23,396,386,10,-,,,,,,,
2020.8.24,266,258,8,-,,,,,,,
2020.8.25,280,264,16,1,,,,,,,
2020.8.26,320,307,13,2,,,,,,,
2020.8.27,441,434,7,1,,,,,,,
2020.8.28,371,359,12,3,,,,,,,
2020.8.29,323,308,15,5,,,,,,,
2020.8.30,299,283,16,2,,,,,,,
2020.8.31,248,238,10,1,,,,,,,
2020.9.1,235,221,14,-,,,,,,,
2020.9.2,267,253,14,2,,,,,,,
2020.9.3,195,188,7,3,,,,,,,
2020.9.4,198,188,10,2,,,,,,,
2020.9.5,168,158,10,2,,,,,,,
2020.9.6,167,152,15,1,,,,,,,
2020.9.7,119,107,12,2,,,,,,,
2020.9.8,136,120,16,5,,,,,,,
2020.9.9,156,144,12,3,,,,,,,
2020.9.10,155,140,15,2,,,,,,,
2020.9.11,176,161,15,4,,,,,,,
2020.9.12,136,118,18,5,,,,,,,
2020.9.13,121,99,22,3,,,,,,,
2020.9.14,109,98,11,5,,,,,,,
2020.9.15,106,90,16,4,,,,,,,
2020.9.16,113,105,8,-,,,,,,,
2020.9.17,153,145,8,5,,,,,,,
2020.9.18,126,109,17,5,,,,,,,
2020.9.19,110,106,4,1,,,,,,,
2020.9.20,82,72,10,5,,,,,,,
2020.9.21,70,55,15,2,,,,,,,
2020.9.22,61,50,11,3,,,,,,,
2020.9.23,110,99,11,-,,,,,,,
2020.9.24,125,109,16,5,,,,,,,
2020.9.25,114,95,19,2,,,,,,,
2020.9.26,61,49,12,4,,,,,,,
2020.9.27,95,73,22,2,,,,,,,
2020.9.28,50,40,10,5,,,,,,,
2020.9.29,38,23,15,1,,,,,,,
2020.9.30,113,94,19,6,,,,,,,
2020.10.1,77,67,10,2,,,,,,,
2020.10.2,63,53,10,1,,,,,,,
2020.10.3,75,52,23,4,,,,,,,
2020.10.4,64,47,17,1,,,,,,,
2020.10.5,73,64,9,1,,,,,,,
2020.10.6,75,66,9,-,,,,,,,
2020.10.7,114,94,20,3,,,,,,,
2020.10.8,69,60,9,2,,,,,,,
2020.10.9,54,38,16,1,,,,,,,
2020.10.10,72,61,11,2,,,,,,,
2020.10.11,58,46,12,2,,,,,,,
2020.10.12,98,69,29,1,,,,,,,
2020.10.13,91,69,22,1,,,,,,,
2020.10.14,84,53,31,4,,,,,,,
2020.10.15,110,95,15,1,,,,,,,
2020.10.16,47,41,6,2,,,,,,,
2020.10.17,73,62,11,2,,,,,,,
2020.10.18,91,71,20,1,,,,,,,
2020.10.19,76,50,26,-,,,,,,,
2020.10.20,58,41,17,3,,,,,,,
2020.10.21,89,57,32,3,,,,,,,
2020.10.22,121,104,17,3,,,,,,,
2020.10.23,155,138,17,2,,,,,,,
2020.10.24,77,66,11,2,,,,,,,
2020.10.25,61,50,11,-,,,,,,,
2020.10.26,119,94,25,-,,,,,,,
2020.10.27,88,72,16,3,,,,,,,
2020.10.28,103,96,7,1,,,,,,,
2020.10.29,125,107,18,1,,,,,,,
2020.10.30,113,93,20,1,,,,,,,
2020.10.31,127,96,31,1,,,,,,,
2020.11.1,124,101,23,2,,,,,,,
2020.11.2,97,79,18,2,,,,,,,
2020.11.3,75,46,29,4,,,,,,,
2020.11.4,117,98,19,2,,,,,,,
2020.11.5,125,108,17,1,,,,,,,
2020.11.6,145,117,28,1,,,,,,,
2020.11.7,89,72,17,1,,,,,,,
2020.11.8,143,118,25,1,,,,,,,
2020.11.9,126,99,27,2,,,,,,,
2020.11.10,100,71,29,5,,,,,,,
2020.11.11,145,113,32,2,,,,,,,
2020.11.12,143,128,15,-,,,,,,,
2020.11.13,191,162,29,1,,,,,,,
2020.11.14,205,166,39,4,,,,,,,
2020.11.15,208,176,32,1,,,,,,,
2020.11.16,222,192,30,1,,,,,,,
2020.11.17,230,202,28,-,,,,,,,
2020.11.18,285,245,40,2,,,,,,,
2020.11.19,325,293,32,2,,,,,,,
2020.11.20,348,320,28,3,,,,,,,
2020.11.21,386,361,25,2,,,,,,,
2020.11.22,330,302,28,2,,,,,,,
2020.11.23,271,255,16,4,,,,,,,
2020.11.24,349,318,31,1,,,,,,,
2020.11.25,382,363,19,3,,,,,,,
2020.11.26,581,552,29,2,,,,,,,
2020.11.27,555,525,30,1,,,,,,,
2020.11.28,503,486,17,6,,,,,,,
2020.11.29,450,413,37,1,,,,,,,
2020.11.30,438,414,24,3,,,,,,,
2020.12.1,451,420,31,-,,,,,,,
2020.12.2,511,492,19,-,,,,,,,
2020.12.3,540,516,24,3,,,,,,,
2020.12.4,628,600,28,7,,,,,,,
2020.12.5,577,559,18,4,,,,,,,
2020.12.6,631,599,32,5,,,,,,,
2020.12.7,615,580,35,4,,,,,,,
2020.12.8,587,561,26,3,,,,,,,
2020.12.9,670,646,24,4,,,,,,,
2020.12.10,680,643,37,8,,,,,,,
2020.12.11,689,673,16,8,,,,,,,
2020.12.12,950,928,22,6,,,,,,,
2020.12.13,1030,1000,30,2,,,,,,,
2020.12.14,718,682,36,7,,,,,,,
2020.12.15,880,848,32,13,,,,,,,
2020.12.16,1078,1054,24,12,,,,,,,
2020.12.17,1014,994,20,22,,,,,,,
2020.12.18,1064,1038,26,11,,,,,,,
2020.12.19,1045,1024,21,14,,,,,,,
2020.12.20,1096,1071,25,15,,,,,,,
2020.12.21,924,891,33,24,,,,,,,
2020.12.22,866,821,45,24,,,,,,,
2020.12.23,1090,1058,32,17,,,,,,,
2020.12.24,985,955,30,17,,,,,,,
2020.12.25,1240,1215,25,17,,,,,,,
2020.12.26,1131,1103,28,20,,,,,,,
2020.12.27,970,946,24,15,,,,,,,
2020.12.28,806,786,20,11,,,,,,,
2020.12.29,1044,1028,16,40,,,,,,,
2020.12.30,1050,1025,25,20,,,,,,,
2020.12.31,967,940,27,21,,,,,,,
2021.1.1,1027,1002,25,17,,,,,,,
2021.1.2,820,784,36,25,,,,,,,
2021.1.3,657,641,16,20,,,,,,,
2021.1.4,1020,986,34,19,,,,,,,
2021.1.5,714,672,42,26,,,,,,,
2021.1.6,838,807,31,20,,,,,,,
2021.1.7,869,832,37,19,,,,,,,
2021.1.8,674,632,42,35,,,,,,,
2021.1.9,641,596,45,19,,,,,,,
2021.1.10,657,623,34,25,,,,,,,
2021.1.11,451,419,32,15,,,,,,,
2021.1.12,537,510,27,25,,,,,,,
2021.1.13,561,535,26,20,,,,,,,
2021.1.14,524,496,28,10,,,,,,,
2021.1.15,512,483,29,22,,,,,,,
2021.1.16,580,547,33,19,,,,,,,
2021.1.17,520,500,20,13,,,,,,,
2021.1.18,389,366,23,15,,,,,,,
2021.1.19,386,351,35,19,,,,,,,
2021.1.20,404,373,31,17,,,,,,,
2021.1.21,400,381,19,16,,,,,,,
2021.1.22,346,314,32,12,,,,,,,
2021.1.23,431,403,28,9,,,,,,,
2021.1.24,392,369,23,12,,,,,,,
2021.1.25,437,405,32,11,,,,,,,
2021.1.26,349,333,16,11,,,,,,,
2021.1.27,559,516,43,7,,,,,,,
2021.1.28,497,479,18,8,,,,,,,
2021.1.29,469,445,24,13,,,,,,,
2021.1.30,456,421,35,15,,,,,,,
2021.1.31,354,323,31,6,,,,,,,
2021.2.1,305,285,20,5,,,,,,,
2021.2.2,336,295,41,10,,,,,,,
2021.2.3,467,433,34,6,,,,,,,
2021.2.4,451,429,22,7,,,,,,,
2021.2.5,370,350,20,11,,,,,,,
2021.2.6,390,362,28,5,,,,,,,
2021.2.7,371,325,46,7,,,,,,,
2021.2.8,288,264,24,3,,,,,,,
2021.2.9,303,273,30,8,,,,,,,
2021.2.10,444,414,30,4,,,,,,,
2021.2.11,504,467,37,10,,,,,,,
2021.2.12,403,384,19,11,,,,,,,
2021.2.13,362,345,17,7,,,,,,,
2021.2.14,326,304,22,8,,,,,,,
2021.2.15,343,322,21,5,,,,,,,
2021.2.16,457,429,28,7,,,,,,,
2021.2.17,621,590,31,4,,,,,,,
2021.2.18,621,590,31,6,,,,,,,
2021.2.19,561,533,28,6,,,,,,,
2021.2.20,448,416,32,3,,,,,,,
2021.2.21,416,391,25,4,,,,,,,
2021.2.22,332,313,19,5,,,,,,,
2021.2.23,356,329,27,11,,,,,,,
2021.2.24,440,417,23,3,,,,,,,
2021.2.25,395,368,27,5,,,,,,,
2021.2.26,387,363,24,4,,,,,,,
2021.2.27,415,405,10,10,,,,,,,
2021.2.28,355,333,22,8,,,,,,,
2021.3.1,355,338,17,2,,,,,,,
2021.3.2,344,319,25,1,,,,,,,
2021.3.3,444,426,18,6,,,,,,,
2021.3.4,424,401,23,7,,,,,,,
2021.3.5,398,381,17,8,,,,,,,
2021.3.6,418,404,14,5,,,,,,,
2021.3.7,416,398,18,2,,,,,,,
2021.3.8,346,335,11,8,,,,,,,
2021.3.9,446,427,19,3,,,,,,,
2021.3.10,470,452,18,3,,,,,,,
2021.3.11,465,444,21,4,,,,,,,
2021.3.12,488,467,21,10,,,,,,,
2021.3.13,490,474,16,5,,,,,,,
2021.3.14,459,436,23,2,,,,,,,
2021.3.15,379,367,12,6,,,,,,,
2021.3.16,363,345,18,3,,,,,,,
2021.3.17,469,452,17,8,,,,,,,
2021.3.18,445,427,18,2,,,,,,,
2021.3.19,463,441,22,2,,,,,,,
2021.3.20,447,435,12,3,,,,,,,
2021.3.21,456,437,19,3,,,,,,,
2021.3.22,415,396,19,1,,,,,,,
2021.3.23,346,331,15,7,,,,,,,
2021.3.24,428,411,17,3,,,,,,,
2021.3.25,430,419,11,2,,,,,,,
2021.3.26,489,466,23,7,,,,,,,
2021.3.27,505,490,15,5,,,,,,,
2021.3.28,481,461,20,1,,,,,,,
2021.3.29,382,369,13,4,,,,,,,
2021.3.30,447,429,18,3,,,,,,,
2021.3.31,506,491,15,2,,,,,,,
2021.4.1,551,537,14,4,,,,,,,
2021.4.2,557,532,25,2,,,,,,,
2021.4.3,543,521,22,3,,,,,,,
2021.4.4,543,514,29,4,,,,,,,
2021.4.5,473,449,24,4,,,,,,,
2021.4.6,477,459,18,4,,,,,,,
2021.4.7,668,653,15,4,,,,,,,
2021.4.8,700,674,26,2,,,,,,,
2021.4.9,671,644,27,6,,,,,,,
2021.4.10,677,662,15,1,,,,,,,
2021.4.11,614,594,20,3,,,,,,,
2021.4.12,587,560,27,2,,,,,,,
2021.4.13,542,528,14,5,,,,,,,
2021.4.14,731,714,17,7,,,,,,,
2021.4.15,698,670,28,6,,,,,,,
2021.4.16,673,652,21,2,,,,,,,
2021.4.17,658,630,28,4,,,,,,,
2021.4.18,671,648,23,3,,,,,,,
2021.4.19,532,512,20,4,,,,,,,
2021.4.20,549,529,20,1,,,,,,,
2021.4.21,731,692,39,4,,,,,,,
2021.4.22,735,715,20,2,,,,,,,
2021.4.23,797,758,39,3,,,,,,,
2021.4.24,785,759,26,1,,,,,,,
2021.4.25,644,603,41,1,,,,,,,
2021.4.26,499,469,30,4,,,,,,,
2021.4.27,512,477,35,3,,,,,,,
2021.4.28,769,748,21,1,,,,,,,
2021.4.29,679,648,31,4,,,,,,,
2021.4.30,661,642,19,3,,,,,,,
2021.5.1,626,592,34,3,,,,,,,
2021.5.2,606,585,21,2,,,,,,,
2021.5.3,488,465,23,1,,,,,,,
2021.5.4,541,514,27,6,,,,,,,
2021.5.5,676,651,25,7,,,,,,,
2021.5.6,574,562,12,4,,,,,,,
2021.5.7,525,509,16,9,,,,,,,
2021.5.8,701,672,29,5,,,,,,,
2021.5.9,564,522,42,9,,,,,,,
2021.5.10,463,436,27,1,,,,,,,
2021.5.11,510,483,27,4,,,,,,,
2021.5.12,634,612,22,5,,,,,,,
2021.5.13,715,692,23,7,,,,,,,
2021.5.14,747,729,18,2,,,,,,,
2021.5.15,681,661,20,3,,,,,,,
2021.5.16,610,572,38,4,,,,,,,
2021.5.17,619,597,22,3,,,,,,,
2021.5.18,528,506,22,1,,,,,,,
2021.5.19,654,637,17,8,,,,,,,
2021.5.20,646,619,27,4,,,,,,,
2021.5.21,561,542,19,6,,,,,,,
2021.5.22,666,633,33,4,,,,,,,
2021.5.23,585,570,15,5,,,,,,,
2021.5.24,530,505,25,3,,,,,,,
2021.5.25,516,481,35,4,,,,,,,
2021.5.26,705,684,21,2,,,,,,,
2021.5.27,629,620,9,3,,,,,,,
2021.5.28,587,571,16,3,,,,,,,
2021.5.29,533,505,28,5,,,,,,,
2021.5.30,480,464,16,6,,,,,,,
2021.5.31,430,411,19,2,,,,,,,
2021.6.1,459,449,10,4,,,,,,,
2021.6.2,677,654,23,2,,,,,,,
2021.6.3,681,672,9,3,,,,,,,
2021.6.4,695,674,21,1,,,,,,,
2021.6.5,744,725,19,2,,,,,,,
2021.6.6,556,541,15,2,,,,,,,
2021.6.7,485,454,31,1,,,,,,,
2021.6.8,454,435,19,1,,,,,,,
2021.6.9,602,581,21,2,,,,,,,
2021.6.10,610,593,17,2,,,,,,,
2021.6.11,556,541,15,2,,,,,,,
2021.6.12,565,525,40,1,,,,,,,
2021.6.13,452,419,33,3,,,,,,,
2021.6.14,399,360,39,3,,,,,,,
2021.6.15,373,347,26,4,,,,,,,
2021.6.16,545,522,23,1,,,,,,,
2021.6.17,540,523,17,1,,,,,,,
2021.6.18,507,485,22,2,,,,,,,
2021.6.19,482,456,26,1,,,,,,,
2021.6.20,429,380,49,5,,,,,,,
2021.6.21,357,317,40,2,,,,,,,
2021.6.22,394,350,44,2,,,,,,,
2021.6.23,645,605,40,1,,,,,,,
2021.6.24,610,576,34,1,,,,,,,
2021.6.25,634,602,32,1,,,,,,,
2021.6.26,668,611,57,3,,,,,,,
2021.6.27,614,570,44,1,,,,,,,
2021.6.28,501,472,29,2,,,,,,,
2021.6.29,595,560,35,2,,,,,,,
2021.6.30,794,759,35,1,,,,,,,
2021.7.1,761,711,50,3,,,,,,,
2021.7.2,825,765,60,3,,,,,,,
2021.7.3,794,748,46,1,,,,,,,
2021.7.4,743,662,81,1,,,,,,,
2021.7.5,711,644,67,2,,,,,,,
2021.7.6,746,690,56,4,,,,,,,
2021.7.7,1211,1166,45,1,,,,,,,
2021.7.8,1275,1227,48,1,,,,,,,
2021.7.9,1316,1236,80,2,,,,,,,
2021.7.10,1378,1320,58,2,,,,,,,
2021.7.11,1324,1280,44,5,,,,,,,
2021.7.12,1100,1063,37,1,,,,,,,
2021.7.13,1150,1097,53,2,,,,,,,
2021.7.14,1613,1566,47,2,,,,,,,
2021.7.15,1599,1554,45,2,,,,,,,
2021.7.16,1535,1475,60,1,,,,,,,
2021.7.17,1449,1400,49,4,,,,,,,
2021.7.18,1453,1402,51,2,,,,,,,
2021.7.19,1251,1207,44,1,,,,,,,
2021.7.20,1278,1242,36,1,,,,,,,
2021.7.21,1781,1725,56,1,,,,,,,
2021.7.22,1841,1532,309,3,,,,,,,
2021.7.23,1629,1573,56,3,,,,,,,
2021.7.24,1627,1572,55,2,,,,,,,
2021.7.25,1487,1422,65,5,,,,,,,
2021.7.26,1318,1264,54,4,,,,,,,
2021.7.27,1363,1274,89,2,,,,,,,
2021.7.28,1895,1822,73,4,,,,,,,
2021.7.29,1673,1631,42,2,,,,,,,
2021.7.30,1710,1662,48,4,,,,,,,
2021.7.31,1538,1465,73,6,,,,,,,
2021.8.1,1442,1386,56,3,,,,,,,
2021.8.2,1218,1150,68,1,,,,,,,
